de
a
que
o
e
harry
não
se
para
um
ele
disse
com
uma
do
os
em
da
eu
no
é
mas
você
por
na
as
estava
mais
como
ao
hermione
dumbledore
era
quando
ela
à
sua
dos
ron
seu
tinha
muito
foi
me
bem
rony
isso
está
eles
lhe
ter
das
hagrid
agora
então
sobre
dele
olhos
perguntou
vez
até
coisa
snape
ser
enquanto
seus
weasley
malfoy
já
sem
todos
fazer
ainda
nos
pelo
voz
cabeça
parecia
mesmo
ver
ou
depois
só
lá
nós
havia
dizer
estavam
lado
lo
tão
varinha
nada
onde
porta
tempo
aqui
pela
tem
tudo
fora
grande
quem
antes
dois
sr
meu
potter
sim
nunca
professor
sala
vai
porque
olhou
também
vocês
viu
mão
pouco
voldemort
tinham
olhar
senhor
hogwarts
rosto
fez
noite
professora
quase
estar
casa
qualquer
suas
frente
cima
outro
atrás
dentro
nem
volta
poderia
alguma
te
deu
olhando
melhor
pode
ar
momento
aos
deles
garoto
isto
nas
chão
estou
há
três
escola
minha
ficou
alguém
todo
fred
sabe
pessoas
slughorn
sempre
assim
tenho
mesa
falar
sei
vamos
ah
acho
sido
outra
entre
ninguém
toda
dia
lugar
claro
dela
gritou
tivesse
moody
dobby
ano
meio
ir
contra
cada
começou
talvez
fosse
hora
num
dar
vou
fazendo
bom
respondeu
durante
crouch
são
primeiro
ouviu
realmente
às
ia
pai
mãos
coisas
sabia
anos
alto
podia
alguns
novo
magia
ficar
voltou
neville
estão
embora
este
outros
tio
sra
algo
saiu
saber
esta
morte
certo
boca
alunos
teve
menos
eram
quer
abriu
riddle
luz
ministério
tentando
la
sirius
numa
trás
mal
gina
quero
cedrico
aquele
posso
teria
lhes
apenas
homem
percy
quanto
duas
mãe
tu
qual
exclamou
nome
deve
pé
queria
ali
murmurou
gente
seria
certeza
vezes
fim
cara
lockhart
caminho
oh
enorme
primeira
madame
tom
salão
todas
bagman
perto
mim
baixo
novamente
quarto
nenhum
sentiu
cama
castelo
krum
foram
aula
algum
ouvir
bastante
essa
falou
feito
água
pés
tarde
parte
pedra
capa
bruxo
passou
feitiço
direção
gryffindor
forma
segundo
rapidamente
vida
aquela
pensou
será
livro
desde
pensar
corredor
vão
corpo
pareceu
passar
modo
continuou
filch
mc_gonagall
logo
janela
tanto
depressa
silêncio
sorriso
virou
pudesse
aconteceu
sair
boa
deixou
costas
manhã
expressão
verdade
jorge
aí
esse
levantou
braço
slytherin
pelos
trabalho
fogo
entrar
sangue
nariz
voltar
fudge
entrada
palavras
cabelos
ministro
favor
estivesse
tentar
temos
devia
velho
bruxos
quatro
poção
livros
tenha
tentou
houve
parede
maior
dudley
longe
poções
pequeno
garotos
força
cheio
acha
disso
pessoa
chapéu
aquilo
finalmente
george
vestes
parece
winky
andar
poder
uns
diário
olho
parou
hoje
si
entrou
mundo
última
los
minutos
através
vernon
chegou
quadribol
atenção
redor
tia
falando
chegar
fleur
sou
junto
cinco
floresta
sob
carta
longo
garota
maneira
visto
seguida
quê
preciso
conseguiu
grandes
lord
amigo
karkaroff
obrigado
deveria
feitiços
coruja
cabelo
lentamente
dedos
pareciam
têm
alta
mesma
iria
deixar
meia
nenhuma
horas
dez
rabicho
seguinte
algumas
trevas
elfo
possível
idéia
rapaz
caiu
palavra
draco
mr
contar
filho
escritório
encontrar
pelas
família
petúnia
seja
imediatamente
goyle
bateu
mulher
repente
cadeira
ergueu
comensais
braços
ombro
ouro
grifinória
forte
multidão
ginny
tarefa
sorte
vê
escuro
diante
difícil
correndo
estranho
levou
vassoura
dizendo
tirou
parecendo
única
sentia
pois
mcgonagall
feliz
principal
próprio
dando
tornou
verde
escada
fazia
correu
comigo
meus
crabbe
pena
debaixo
estado
torneio
dragão
estamos
história
murta
pontos
resto
pergaminho
sentou
professores
pernas
amigos
gui
pequena
medo
fundo
sorrindo
dias
capaz
ouvido
dursley
cor
desapareceu
pegou
acima
conseguia
cair
mrs
percebeu
cozinha
cicatriz
pôs
óculos
passado
rápido
descobrir
elas
rua
pais
querer
cheia
semana
certamente
taça
diggory
passos
usar
carro
somente
naquele
muitos
céu
capítulo
muita
câmara
quirrell
jogo
lufa
tal
sentado
negro
caldeirão
pôde
segunda
lago
pensei
campo
agarrou
parar
gostaria
grupo
estás
ouvi
natal
vi
coração
lareira
puxou
sendo
além
pra
olhava
continuava
completamente
apareceu
dentes
canto
razão
próximo
som
matar
aulas
precisa
demais
contou
apontando
bolso
diretor
quidditch
pensando
ovo
seguir
pomfrey
espero
juntos
diz
sinal
correr
porém
marca
sentir
sorriu
repetiu
sozinho
faz
começaram
mapa
tipo
saíram
levar
muggles
vinha
negra
hum
olha
ambos
usando
jeito
espera
lançou
indo
wood
sussurrou
memória
mostrar
cabana
estaria
único
apesar
trouxas
artes
invisibilidade
ficaram
vindo
normal
testa
morto
abaixo
dor
escuridão
menor
campeões
dursleys
ombros
veio
vir
podem
deixando
baixinho
lados
vinte
conta
fato
apontou
ligeiramente
gigante
resposta
